Dog_ID,Client_ID,Dog_Name,Breed,Dog_Age,Primary_Behavior_Issue,Energy_Level,Spayed_Neutered,Care_Notes
D0001,C0001,Archie,Beagle,4.2,Dog Reactivity,High,No,Food motivated
D0002,C0002,Nellie,Cocker Spaniel,12.5,Confidence Building,High,Yes,Sensitive to loud noises
D0003,C0003,Louis,Golden Retriever,3.3,Leash Pulling,Moderate,Yes,Toy motivated
D0004,C0004,Willow,Golden Retriever,8.2,,Very High,No,Enjoys enrichment games
D0005,C0004,Murphy,German Shepherd,4.4,Puppy Basics,Moderate,No,Food motivated
D0006,C0005,Luna,Golden Retriever,12.1,Confidence Building,High,Yes,Enjoys enrichment games
D0007,C0006,Nellie,Beagle,7.9,Loose Leash Walking,Very High,No,Crate trained
D0008,C0006,Bailey,German Shepherd,0.9,Confidence Building,Moderate,No,Toy motivated
D0009,C0007,Hazel,Australian Shepherd,6.1,Confidence Building,Very High,No,Needs slow introductions
D0010,C0007,Maple,Rescue Mix,4.6,Leash Pulling,Moderate,No,Needs slow introductions
D0011,C0007,Rocky,German Shepherd,9.1,Puppy Basics,High,Yes,Needs slow introductions
D0012,C0008,Luna,Irish Setter Mix,1.9,Confidence Building,Very High,Unknown,Sensitive to loud noises
D0013,C0009,Bailey,German Shepherd,2.9,Puppy Basics,High,Yes,Toy motivated
D0014,C0010,Hazel,Golden Retriever,2.1,Dog Reactivity,Very High,Yes,Enjoys enrichment games
D0015,C0011,Murphy,Border Collie,3.5,Dog Reactivity,High,Yes,Toy motivated
D0016,C0012,Louis,German Shepherd,12.4,Recall,Low,Unknown,Needs slow introductions
D0017,C0012,Hazel,Goldendoodle,7.1,Dog Reactivity,High,No,Crate trained
D0018,C0012,Cedar,Standard Poodle,2.3,Dog Reactivity,High,Yes,Needs slow introductions
D0019,C0013,Cooper,Beagle,11.6,Puppy Basics,High,Yes,Needs slow introductions
D0020,C0013,Nellie,German Shepherd,9.9,,High,Yes,Sensitive to loud noises
D0021,C0014,Willow,Australian Shepherd,4.9,Separation Anxiety,High,Yes,Enjoys enrichment games
D0022,C0015,Daisy,Rescue Mix,5.4,,Moderate,No,Enjoys enrichment games
D0023,C0016,Bailey,Standard Poodle,5.4,Household Routine,High,No,Food motivated
D0024,C0016,Pepper,Beagle,2.1,Loose Leash Walking,Moderate,No,Food motivated
D0025,C0017,Bailey,Standard Poodle,6.4,Jumping/Manners,Moderate,Yes,Sensitive to loud noises
D0026,C0018,Lucy,Beagle,3.9,Separation Anxiety,Moderate,No,Enjoys enrichment games
D0027,C0018,Archie,Cocker Spaniel,11.7,Puppy Basics,Moderate,No,Crate trained
D0028,C0019,Charlie,Rescue Mix,1.3,Jumping/Manners,Very High,Yes,Sensitive to loud noises
D0029,C0020,Addie,Rescue Mix,10.4,Jumping/Manners,Low,No,Food motivated
D0030,C0020,Scout,Border Collie,1.0,Confidence Building,Moderate,Yes,Toy motivated
D0031,C0020,Addie,Standard Poodle,7.4,Separation Anxiety,High,Yes,Crate trained
D0032,C0021,Louis,Goldendoodle,8.5,Dog Reactivity,Very High,No,Enjoys enrichment games
D0033,C0021,Willow,Mixed Breed,3.7,Dog Reactivity,Low,Unknown,Crate trained
D0034,C0022,Bailey,Border Collie,6.2,Puppy Basics,High,Unknown,Needs slow introductions
D0035,C0023,Pepper,Goldendoodle,4.4,Household Routine,Very High,No,Crate trained
